1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,6,6,1
1,0,11,0,0,0,11,0,0,0,0,0,1,0,0,0,5,8,0,1
1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1
1,6,6,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,12,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,10,10,0,1,11,11,0,0,1,0,0,0,1,0,0,11,2,11,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
